International Visitors;World Region;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;Notes:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;;44.680.701;39.187.795;35.987.060;34.463.949;38.172.774;49.205.955;50.977.390;56.134.944;58.007.274;55.102.743;60.010.360;63.477.416;66.966.897;71.642.907;75.379.354;77.773.526;76.407.488;77.186.746;79.745.918;79.441.595;19.212.014;22.280.100;50.770.685;66.349.859;72.390.321;;TOTAL All Countries;Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;;25.974.701;21.832.868;19.116.707;18.026.213;20.322.257;21.678.528;21.668.290;23.892.277;25.341.451;23.756.184;26.362.616;28.539.631;30.070.908;33.688.677;35.295.842;38.700.150;38.129.404;38.905.524;39.883.361;40.393.346;7.594.470;9.174.707;23.952.957;31.468.481;35.159.249;;OVERSEAS (NET);Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;Africa;;403;236;127;191;136;117;145;181;224;354;363;353;327;240;429;446;993;845;289;244;55;49;225;359;365;;Djibouti;
Dominica;Caribbean;;16.174;14.221;17.271;6.792;8.831;5.765;6.096;5.352;6.635;6.857;7.379;6.223;6.528;6.970;6.277;6.487;6.815;6.491;6.725;7.100;1.373;2.293;4.963;6.714;8.270;;Dominica;
Dominican Republic;Caribbean;;197.298;171.568;153.586;153.019;180.048;221.449;236.622;263.452;226.184;227.948;239.972;235.098;242.260;254.133;280.114;324.322;364.787;423.079;451.058;488.703;178.707;405.869;431.672;504.319;556.591;;Dominican Republic;
East Timor;Asia;;0;0;27;8;14;10;7;0;166;0;6;4;6;26;96;108;73;95;101;136;28;18;57;96;110;;Timor-Leste (East Timor);
Ecuador;South America;;129.938;147.527;139.094;119.737;133.046;143.073;147.173;155.328;152.112;168.432;195.546;213.436;207.642;265.010;338.724;375.705;416.109;418.009;450.857;456.741;169.366;407.417;369.927;468.419;492.163;;Ecuador;
Egypt;Middle East;;44.612;41.438;24.315;20.225;20.772;24.048;27.129;30.449;34.855;36.044;41.949;49.791;64.967;70.759;74.935;79.185;83.357;73.842;77.248;82.412;24.407;36.246;53.592;75.042;78.369;;Egypt;
El Salvador;Central America;;184.574;207.890;197.159;177.240;181.209;164.492;153.835;159.783;136.494;123.185;112.346;99.546;99.355;109.737;127.467;172.050;189.168;186.254;212.263;230.516;61.329;203.053;220.089;272.193;284.969;;El Salvador;
Equatorial Guinea;Africa;;150;133;83;78;43;72;119;223;303;397;368;521;577;1.142;1.600;1.348;1.388;1.319;1.427;1.496;336;507;1.192;1.342;1.071;;Equatorial Guinea;
Eritrea;Africa;;407;599;1.025;1.034;1.039;915;789;320;245;248;263;294;364;1.064;2.019;2.326;3.308;2.247;881;800;236;280;684;987;1.856;;Eritrea;
Estonia;Eastern Europe;;6.745;5.894;5.630;5.569;5.919;6.625;7.547;10.253;11.686;15.677;10.753;12.268;14.220;17.133;17.742;20.684;22.441;21.974;22.017;24.153;5.187;3.304;15.851;19.709;22.139;;Estonia;
